,precision,recall,f1-score,support
751活的3D博物馆,0.0,0.0,0.0,11.0
798艺术区,0.0,0.0,0.0,45.0
三里屯,0.0,0.0,0.0,19.0
三里河公园,0.0,0.0,0.0,5.0
世界公园,0.0,0.0,0.0,91.0
世界花卉大观园,0.0,0.0,0.0,78.0
世贸天阶,0.0,0.0,0.0,11.0
中华民族博物院,0.0,0.0,0.0,32.0
中国古动物馆,0.0,0.0,0.0,7.0
中国科学技术馆,0.0,0.0,0.0,100.0
中国紫檀博物馆,0.0,0.0,0.0,12.0
九华山庄温泉文化主题公园,0.0,0.0,0.0,7.0
云居寺·石经山,0.0,0.0,0.0,7.0
京东大峡谷,0.0,0.0,0.0,10.0
京西古道,0.0,0.0,0.0,12.0
人民大会堂,0.0,0.0,0.0,14.0
八大处公园,0.0,0.0,0.0,52.0
八达岭古长城（残长城）,0.0,0.0,0.0,10.0
八达岭野生动物世界,0.2,0.054945054945054944,0.08620689655172414,91.0
八达岭长城,0.0,0.0,0.0,101.0
冶仙塔旅游风景区,0.0,0.0,0.0,4.0
凤山温泉度假村,0.0,0.0,0.0,45.0
前门大街,0.0,0.0,0.0,44.0
北京世园公园,0.04057971014492753,0.2413793103448276,0.06947890818858561,116.0
北京凤凰岭景区,0.0,0.0,0.0,38.0
北京动物园,0.2926829268292683,0.5517241379310345,0.3824701195219123,87.0
北京后花园（白虎涧）风景区,0.0,0.0,0.0,15.0
北京喇叭沟原始森林公园,0.0,0.0,0.0,54.0
北京园博园,0.03225806451612903,0.00980392156862745,0.015037593984962407,102.0
北京国际鲜花港,0.019693654266958426,0.1592920353982301,0.035053554040895815,113.0
北京大学,0.0,0.0,0.0,31.0
北京平谷金海湖,0.0,0.0,0.0,39.0
北京杜莎夫人蜡像馆,0.0,0.0,0.0,91.0
北京植物园,0.0,0.0,0.0,37.0
北京欢乐水魔方,0.0,0.0,0.0,43.0
北京欢乐谷,0.0,0.0,0.0,89.0
北京汽车博物馆,0.0,0.0,0.0,96.0
北京海洋馆,0.12307692307692308,0.09302325581395349,0.10596026490066225,86.0
北京环球度假区,0.0,0.0,0.0,15.0
北京自然博物馆,0.5,0.034482758620689655,0.06451612903225806,29.0
北京西山国家森林公园,0.0,0.0,0.0,39.0
北宫国家森林公园,0.0,0.0,0.0,26.0
北海公园,0.0,0.0,0.0,1.0
十渡东湖港,0.0,0.0,0.0,4.0
十渡孤山寨,0.0,0.0,0.0,14.0
十渡风景名胜区,0.0,0.0,0.0,17.0
千灵山公园,0.0,0.0,0.0,4.0
南宫五洲植物乐园,0.0,0.0,0.0,54.0
南宫旅游度假区,0.0,0.0,0.0,34.0
南宫民族温泉养生园,0.0,0.0,0.0,12.0
南宫温泉水世界,0.0,0.0,0.0,44.0
南锣鼓巷,0.14775725593667546,0.5384615384615384,0.23188405797101452,104.0
古北水镇,0.0,0.0,0.0,97.0
古崖居风景区,0.0,0.0,0.0,20.0
司马台长城,0.0,0.0,0.0,37.0
呀路古热带植物园,0.0392156862745098,0.07017543859649122,0.050314465408805034,57.0
国子监,0.0,0.0,0.0,11.0
国家图书馆,0.0,0.0,0.0,15.0
国家大剧院,0.0,0.0,0.0,64.0
地坛,0.0,0.0,0.0,23.0
坡峰岭,0.0,0.0,0.0,78.0
大兴龙熙温泉,0.0,0.0,0.0,35.0
大运河森林公园,0.0,0.0,0.0,10.0
天坛,0.0,0.0,0.0,80.0
天安门城楼,0.0,0.0,0.0,41.0
太平洋海底世界,0.0,0.0,0.0,66.0
孔庙和国子监博物馆,0.0,0.0,0.0,33.0
富国海底世界,0.0,0.0,0.0,69.0
尚隐泉都市生活馆,0.0,0.0,0.0,11.0
居庸关长城,0.0,0.0,0.0,50.0
张裕爱斐堡国际酒庄,0.0,0.0,0.0,42.0
慕田峪长城,0.0,0.0,0.0,144.0
故宫,0.3424657534246575,0.8741258741258742,0.4921259842519685,143.0
故宫珍宝馆,0.0,0.0,0.0,13.0
明十三陵,0.0,0.0,0.0,79.0
朝阳公园,0.0,0.0,0.0,23.0
桃源仙谷自然风景区,0.0,0.0,0.0,13.0
清凉谷风景区,0.0,0.0,0.0,29.0
清华大学,0.0,0.0,0.0,26.0
温都水城·水梦奇缘,0.0,0.0,0.0,23.0
潘家园,0.0,0.0,0.0,11.0
潭柘寺,0.0,0.0,0.0,28.0
玉渊潭公园,0.0,0.0,0.0,51.0
玉渡山景区,0.0,0.0,0.0,44.0
白塔寺,0.0,0.0,0.0,10.0
百花山自然保护区,0.0,0.0,0.0,6.0
百里山水画廊,0.0,0.0,0.0,14.0
皇家御河游,0.0,0.0,0.0,15.0
石花洞,0.0,0.0,0.0,17.0
箭扣长城,0.0,0.0,0.0,7.0
簋街小吃,0.0,0.0,0.0,15.0
紫谷伊甸园,0.0,0.0,0.0,19.0
西单,0.0,0.0,0.0,15.0
野鸭湖国家湿地公园,0.0,0.0,0.0,65.0
长安街,0.0,0.0,0.0,11.0
阳台山自然风景区,0.0,0.0,0.0,4.0
雁栖湖,0.0,0.0,0.0,80.0
雍和宫,0.0,0.0,0.0,78.0
颐和园,0.0,0.0,0.0,82.0
首都博物馆,0.0,0.0,0.0,35.0
香山公园,0.0,0.0,0.0,94.0
鸟巢（国家体育场）,0.0,0.0,0.0,70.0
黑龙潭风景区,0.0,0.0,0.0,30.0
accuracy,0.0672,0.0672,0.0672,0.0672
macro avg,0.01687116480068009,0.02550886724083807,0.014883960911192122,4375.0
weighted avg,0.033267573344725056,0.0672,0.037260708652865814,4375.0
